Symbol	Last Sale	Net Change	% Change	Market Cap	Volume					
BX	$131.38 	-3.72	-2.75%	93399310999	2745324					
BXC	$91.01 	0.84	0.93%	883405402	58674					
BXMT	$31.58 	-0.04	-0.13%	5285792566	925415					
BXMX	$14.82 	0.01	0.07%	1542566924	117478					
BXP	$115.31 	-0.59	-0.51%	18012222713	484813					
BY	$27.53 	-0.02	-0.07%	1038194291	48543					
BYD	$64.60 	-0.62	-0.95%	7257525372	562894					
BYM	$15.53 	0	0.00%	410160687	31314					
BYND	$66.31 	-0.44	-0.66%	4199467868	1945639					
BYRN	$13.71 	-0.2	-1.44%	323747186	94391					
BYTS	$9.80 	0	0.00%	406617327	8					
BZFD	$5.54 	0.07	1.28%	737597622	264856					
BZH	$23.15 	-0.06	-0.26%	728292240	208420					
C	$60.62 	-0.03	-0.05%	1.20286E+11	12689436					
CABO	$1,750.50 	4.42	0.25%	10582600487	19865					
CAC	$48.67 	0.13	0.27%	722717718	28215					
CACC	$680.00 	3.86	0.57%	9886942280	82200					
CACI	$269.50 	2.98	1.12%	6286644557	50782					
CADE	$29.80 	0.06	0.20%	5737877475	708751					
CAF	$20.76 	-0.02	-0.10%	454259213	43748					
CAG	$33.94 	0.52	1.56%	16280671167	2423453					
CAH	$51.72 	0.36	0.70%	14574075463	1405628					
CAKE	$39.66 	-0.69	-1.71%	2069038007	404031					
CAL	$22.52 	-0.01	-0.04%	857784863	323827					
CALM	$38.30 	1.4	3.79%	1871235701	645160					
CALX	$68.41 	-1.59	-2.27%	4361558906	538148					
CAPL	$19.08 	-0.09	-0.47%	722973655	29415					
CAR	$210.31 	-12.91	-5.78%	11871488657	638686					
CARA	$12.25 	-0.32	-2.55%	654868818	319074					
CARE	$14.92 	-0.01	-0.07%	394804476	26334					
CARG	$33.81 	-0.3	-0.88%	3978871832	1201699					
CASA	$5.56 	0	0.00%	471305437	206446					
CASH	$59.43 	0.42	0.71%	1815497533	125042					
CASS	$39.86 	-0.15	-0.38%	558444499	36293					
CASY	$196.78 	3.4	1.76%	7302270254	195586					
CAT	$206.62 	0.24	0.12%	1.11769E+11	1393047					
CATC	$93.68 	-0.01	-0.01%	652452253	8817					
CATO	$16.92 	-0.2	-1.17%	372661308	50917					
CATY	$42.99 	0.18	0.42%	3319838050	170792					
CBL	$30.15 	0.15	0.50%	602656290	23318					
CBNK	$26.52 	0.35	1.34%	367789623	22693					
CBRE	$107.72 	-0.07	-0.07%	36050207086	614460					
CBRL	$129.08 	0.06	0.05%	3036205174	191109					
CBSH	$68.83 	0.5	0.73%	8395880716	219936					
CBT	$55.58 	0.02	0.04%	3157126525	191557					
CBTX	$29.13 	0.01	0.03%	715996611	62564					
CBU	$74.87 	-0.04	-0.05%	4037818013	113610					
CBZ	$39.51 	-0.58	-1.45%	2058163415	283819					
CC	$33.10 	0.54	1.66%	5394004003	1344594					
CCAP	$18.05 	0.05	0.28%	598670848	206620					
CCB	$50.93 	-0.87	-1.68%	655389445	45861					
CCBG	$27.05 	0.14	0.52%	456558096	28864					
CCCC	$32.86 	-0.11	-0.33%	1597837479	643839					
CCCS	$11.40 	-0.1	-0.87%	6882143805	326389					
CCD	$31.57 	0.06	0.19%	773291081	66291					
CCF	$98.51 	-1.13	-1.13%	931873569	12740					
CCI	$206.30 	1.55	0.76%	89163530062	1156041					
CCK	$108.24 	1.69	1.59%	13840414244	391284					
CCL	$20.90 	-0.05	-0.24%	24364439782	39681851					
CCMP	$193.78 	-0.1	-0.05%	5505967255	410353					
CCNE	$26.91 	-0.21	-0.77%	454578171	57978					
CCO	$3.34 	-0.04	-1.18%	1572150254	1374835					
CCOI	$73.12 	-0.17	-0.23%	3485906501	136103					
CCRN	$28.24 	-1.48	-4.98%	1073223641	533372					
CCS	$80.72 	-0.49	-0.60%	2725183077	139264					
CCSI	$59.17 	-0.33	-0.56%	1177656013	52296					
CCXI	$36.43 	-0.49	-1.33%	2551246161	623585					
CDAY	$105.26 	-1.01	-0.95%	15929130638	455031					
CDE	$5.08 	-0.02	-0.39%	1305325599	3315001					
CDEV	$6.28 	-0.2	-3.09%	1784097741	3323426					
CDK	$42.04 	0.89	2.16%	4974800457	584087					
CDLX	$65.08 	-0.21	-0.32%	2165156347	336536					
CDMO	$29.28 	-0.99	-3.27%	1803105266	373366					
CDNA	$44.25 	0.13	0.30%	2336497350	325435					
CDNS	$190.08 	-1.57	-0.82%	52678961280	1025236					
CDR	$24.59 	0.28	1.15%	335913785	46305					
CDW	$205.60 	-1.42	-0.69%	27904654557	291465					
CDXS	$32.01 	-2.07	-6.07%	2076657649	498235					
CE	$165.48 	1.65	1.01%	18015947927	284755					
CELH	$73.55 	-1.55	-2.06%	5502649870	560968					
CELU	$4.86 	-0.15	-2.99%	600035589	89751					
CEM	$26.76 	0.12	0.45%	376860866	60005					
CENT	$52.06 	0.03	0.06%	2871070996	17932					
CENTA	$47.61 	0.03	0.06%	2625656745	90078					
CENX	$16.64 	-0.21	-1.25%	1499748524	647267					
CEQP	$26.90 	0.6	2.28%	1691914693	325239					
CERE	$32.80 	-1.81	-5.23%	4829333879	255843					
CERN	$93.00 	0.75	0.81%	27175606911	3284920					
CERS	$6.78 	-0.17	-2.45%	1167966056	796034					
CERT	$28.77 	-0.93	-3.13%	4593403757	360165					
CET	$43.65 	0.45	1.04%	1145546366	100221					
CEVA	$44.06 	-1.32	-2.91%	1012227919	80949					
CF	$74.32 	0.46	0.62%	15939814701	1470844					
CFB	$15.60 	0.12	0.78%	794333093	91000					
CFFE	$9.95 	-0.01	-0.10%	316310500	3174					
CFFN	$11.39 	-0.03	-0.26%	1581432978	280682					
CFG	$47.30 	0.1	0.21%	20159239945	1906023					
CFIV	$9.77 	0	0.00%	620395000	1970					
CFLT	$74.96 	-1.63	-2.13%	19825001774	746953					
CFR	$126.88 	0.17	0.13%	8084160215	151863					
CFV	$9.70 	-0.05	-0.51%	308945000	1812					
CFVI	$11.06 	-0.21	-1.86%	422492000	1407155					
CFX	$46.11 	0.16	0.35%	7136990735	1522623					
CG	$55.47 	-0.68	-1.21%	19772954462	987495					
CGBD	$14.04 	0.04	0.29%	751822990	223610					
CGEM	$15.87 	-0.64	-3.88%	693273650	103845					
CGNX	$78.59 	-0.77	-0.97%	13894633646	281730					
CHCO	$81.25 	-0.23	-0.28%	1228353263	83777					
CHCT	$46.58 	0.49	1.06%	1163685129	65916					
CHD	$100.18 	-0.18	-0.18%	25045000000	935573					
CHDN	$238.82 	1.63	0.69%	9134656749	183020					
CHE	$532.53 	-3.61	-0.67%	8198325444	44084					
CHEF	$32.97 	0.04	0.12%	1249043690	97470					
CHH	$154.35 	-0.07	-0.05%	8586387086	150721					
CHI	$15.21 	-0.02	-0.13%	1082273451	102535					
CHK	$65.96 	0.11	0.17%	7724301536	641734					
CHNG	$21.44 	0.15	0.71%	6678458567	681354					
CHPM	$10.09 	0.01	0.10%	378375000	955					
CHPT	$18.68 	-0.52	-2.71%	6183586303	5711142					
CHRS	$17.32 	-0.36	-2.04%	1329923665	418919					
CHRW	$106.13 	1.65	1.58%	13795569342	776358					
CHS	$4.90 	-0.15	-2.97%	600456251	1179236					
CHTR	$655.79 	3.44	0.53%	1.34371E+11	450734					
CHUY	$29.02 	-0.25	-0.85%	574653953	77482					
CHW	$9.97 	-0.07	-0.70%	594194214	117833					
CHX	$20.74 	-0.2	-0.96%	4190929021	550887					
CHY	$16.08 	-0.08	-0.50%	1182951475	80897					
CI	$230.54 	2.68	1.18%	76407359249	864784					
CIEN	$77.33 	0.09	0.12%	11977075325	827648					
CIFR	$4.69 	-0.29	-5.82%	1155527448	563549					
CII	$21.95 	0.16	0.73%	968464730	37979					
CIIG	$9.84 	-0.01	-0.10%	353625000	21592					
CIM	$15.66 	0.11	0.71%	3709614543	1808285					
CINF	$114.83 	0.71	0.62%	18503820800	329191					
CIR	$27.78 	-0.36	-1.28%	562767101	34425					
CISO	$20.00 	-0.0001	0.00%	2355795780	725					
CIT	$52.84 	-0.48	-0.90%	5240126948	910399					
CIVB	$24.82 	0.27	1.10%	375742683	15191					
CIVI	$50.33 	-0.41	-0.81%	4250688196	382968					
CL	$84.46 	0.55	0.66%	71187000442	2201029					
CLAR	$27.21 	0.05	0.18%	1006431290	92311					
CLBK	$20.93 	-0.08	-0.38%	2278691525	70550					
CLDT	$13.55 	-0.2	-1.46%	660808853	110005					
CLDX	$40.76 	-1.07	-2.56%	1902019423	538062					
CLF	$20.89 	0.21	1.02%	10446893992	11918387					
CLFD	$82.90 	-1.21	-1.44%	1138398385	237099					
CLH	$97.95 	0.99	1.02%	5329666762	135775					
CLM	$14.07 	0.03	0.21%	1658553407	757917					
CLMT	$12.22 	-0.56	-4.38%	961423922	267763					
CLNE	$6.37 	-0.11	-1.70%	1420459887	2469076					
CLOV	$3.89 	-0.16	-3.95%	1714323000	10923938					
CLR	$45.68 	-0.93	-2.00%	16699734370	945240					
CLRM	$9.72 	-0.05	-0.51%	349312500	36210					
CLSK	$11.01 	-1.22	-9.98%	456340014	1962678					
CLVS	$2.77 	-0.09	-3.15%	360042099	3438469					
CLW	$36.60 	-0.31	-0.84%	610829698	76526					
CLX	$171.93 	1.04	0.61%	21123795358	559428					
CMA	$86.72 	0.12	0.14%	11373212142	529352					
CMAX	$7.34 	-0.12	-1.61%	639123050	150410					
CMC	$36.01 	0.44	1.24%	4378651758	552525					
CMCO	$45.70 	0.17	0.37%	1299707452	51623					
CMCSA	$50.51 	0.04	0.08%	2.30776E+11	9282809					
CME	$230.12 	0.69	0.30%	82704968527	531451					
CMG	$1,752.91 	-13.33	-0.76%	49318834531	114636					
CMI	$217.53 	1.32	0.61%	31113717895	539418					
CMP	$52.12 	-0.16	-0.31%	1775089826	225795					
CMRX	$6.68 	-0.15	-2.20%	580241006	781927					
CMS	$64.54 	0.63	0.99%	18697069486	626422					
CMTL	$23.39 	-0.25	-1.06%	616263160	55076					
CNA	$44.46 	0.34	0.77%	12064660398	90445					
CNC	$84.45 	0.08	0.10%	49276822607	1784756					
CNDT	$5.34 	-0.04	-0.74%	1136319949	767388					
CNK	$16.74 	-0.02	-0.12%	2002558123	2181722					
CNMD	$143.32 	-0.08	-0.06%	4191697238	82447					
CNO	$24.25 	0.17	0.71%	2990351769	546761					
CNOB	$32.78 	0.07	0.21%	1298160083	54763					
CNP	$27.85 	0.27	0.98%	17513910692	2119133					
CNR	$17.20 	0	0.00%	2170965114	343613					
CNS	$92.00 	-1.01	-1.09%	4439646024	71501					
CNSL	$7.65 	-0.17	-2.17%	871106143	261410					
CNTY	$12.22 	-0.48	-3.78%	361893027	111246					
CNX	$14.40 	-0.05	-0.35%	3041276774	1220230					
CNXC	$182.77 	-0.18	-0.10%	9562463893	163098					
CNXN	$44.19 	-0.39	-0.88%	1158192502	51481					
COCO	$11.42 	0.19	1.69%	633978788	275375					
CODI	$29.72 	-0.21	-0.70%	1960054655	288969					
COF	$146.20 	0.31	0.21%	62225944880	1025712					
COGT	$8.22 	-0.11	-1.32%	327575401	128285					
COHR	$266.72 	-1.49	-0.56%	6585576852	87924					
COHU	$37.61 	-0.24	-0.63%	1831173996	301072					
COIN	$261.33 	-18.94	-6.76%	68442327000	4363211					
COKE	$612.02 	12.37	2.06%	5736885142	23872					
COLB	$32.90 	0.12	0.37%	2583220124	292205					
COLD	$32.81 	0.31	0.95%	8752706147	1337253					
COLI	$9.73 	0.02	0.21%	419606250	5814					
COLL	$19.69 	-0.21	-1.06%	680657880	149804					
COLM	$94.86 	-0.42	-0.44%	6186493916	528052					
COMM	$11.07 	-0.02	-0.18%	2263803897	1524902					
CONE	$90.23 	0.24	0.27%	11516592310	2396589					
CONN	$21.95 	0.94	4.47%	647889019	530474					
CONX	$9.81 	0	0.00%	919981800	34252					
COO	$420.41 	0.38	0.09%	20771625688	149767					
COOL	$9.77 	-0.015	-0.15%	488250000	516					
COOP	$41.93 	0.04	0.10%	3149892002	367691					
COP	$73.12 	-0.09	-0.12%	96441394915	3383651					
COR	$169.41 	0	0.00%	7487147796	17280					
CORT	$19.18 	-0.44	-2.24%	2214367346	892135					
COST	$564.64 	1.17	0.21%	2.5038E+11	1154956					
COTY	$10.48 	-0.01	-0.10%	8577632819	2330389					
COUP	$159.75 	-1.78	-1.10%	11930203805	883894					
COVA	$9.75 	0.01	0.10%	365625000	84651					
COWN	$36.98 	-0.33	-0.88%	1009076034	126211					
CPAR	$9.73 	0.0214	0.22%	434624583	4971					
CPB	$43.36 	1.18	2.80%	13083354390	2623167					
CPE	$52.50 	-0.68	-1.28%	3221545425	1456388					
CPF	$28.16 	0.12	0.43%	787561646	60343					
CPK	$141.88 	-0.99	-0.69%	2497683328	28990					
CPRT	$149.75 	1.02	0.69%	35518972035	580566					
CPRX	$7.07 	-0.19	-2.62%	729041284	714974					
CPS	$21.04 	-0.31	-1.45%	357495206	94762					
CPSI	$29.48 	-0.17	-0.57%	431836070	48844					
CPT	$176.79 	0.23	0.13%	18067457662	414718					
CPZ	$19.83 	-0.04	-0.20%	389306407	74753					
CQP	$42.28 	0.58	1.39%	20464603340	208508					
CR	$102.59 	0.55	0.54%	6024810009	114930					
CRAI	$94.50 	-0.95	-1.00%	701858966	16871					
CRBU	$15.30 	-0.31	-1.99%	920938533	398887					
CRCT	$22.87 	-0.22	-0.95%	5086729803	297360					
CRF	$13.63 	0.08	0.59%	848144919	438904					
CRHC	$9.81 	0	0.00%	1015335000	86152					
CRI	$99.77 	0.05	0.05%	4216857968	287361					
CRIS	$4.88 	-0.12	-2.40%	447052725	1055898					
CRK	$8.75 	-0.06	-0.68%	2038090653	1200971					
CRL	$371.96 	-3.38	-0.90%	18770737852	224825					
CRM	$255.45 	-2.85	-1.10%	2.51618E+11	3293566					
CRMT	$103.38 	-0.12	-0.12%	672896388	39382					
CRNC	$77.21 	-2.49	-3.12%	2975522841	331031					
CRNX	$26.99 	-0.59	-2.14%	1282021923	153230					
CROX	$127.35 	-0.48	-0.38%	7494214862	2564846					
CRS	$29.96 	-0.35	-1.16%	1443685336	252108					
CRSR	$21.62 	-0.48	-2.17%	2039717150	726252					
CRTX	$12.21 	-0.3	-2.40%	364805594	1010139					
CRUS	$92.34 	-0.84	-0.90%	5275941841	212613					
CRVL	$208.45 	1.98	0.96%	3693706902	33439					
CRWD	$207.23 	-2.41	-1.15%	47525986040	1518976					
CRY	$20.15 	-0.67	-3.22%	792491037	159808					
CSCO	$63.53 	0.11	0.17%	2.67945E+11	12865013					
CSGP	$79.75 	-0.21	-0.26%	31496127578	805953					
CSGS	$57.85 	-0.12	-0.21%	1888562307	280515					
CSII	$19.69 	-0.17	-0.86%	798442495	397811					
CSL	$245.00 	-0.32	-0.13%	12809719650	146337					
CSQ	$19.42 	0.04	0.21%	3040912102	152147					
CSR	$109.49 	0.49	0.45%	1563575777	26939					
CSTL	$41.20 	-0.39	-0.94%	1042374132	92449					
CSTR	$20.87 	0.28	1.36%	462624518	39648					
CSV	$64.99 	1.19	1.87%	1082229143	142941					
CSWC	$25.03 	-0.06	-0.24%	584226206	188043					
CSWI	$118.38 	-0.51	-0.43%	1869959838	16991					
CSX	$37.42 	0.23	0.62%	82996939240	5301957					
CTAQ	$9.78 	-0.01	-0.10%	500858250	7935					
CTAS	$444.10 	2.02	0.46%	46037377360	273397					
CTBI	$43.53 	-0.08	-0.18%	776709316	20158					
CTKB	$16.14 	-0.97	-5.67%	2158336155	169751					
CTLP	$7.94 	-0.24	-2.93%	563487222	271254					
CTLT	$125.36 	-1	-0.79%	21460132945	335608					
CTO	$60.12 	-0.03	-0.05%	358444458	44274					
CTRA	$19.96 	0.05	0.25%	16239009674	3981370					
CTRE	$22.62 	0.07	0.31%	2194882977	352387					
CTRN	$81.00 	2.73	3.49%	688535154	255872					
CTS	$37.13 	-0.03	-0.08%	1196497616	98726					
CTSH	$88.73 	0.64	0.73%	46605586358	1516530					
CTT	$8.70 	-0.09	-1.02%	425329289	202762					
CTXS	$96.10 	0.95	1.00%	11985867999	849806					
CUBE	$56.50 	0.2	0.36%	12362805850	1976674					
CUBI	$64.04 	-1.54	-2.35%	2075688687	288096					
CUE	$11.46 	-0.44	-3.70%	363980441	382634					
CUK	$19.24 	-0.01	-0.05%	22413254470	1858403					
CURI	$5.98 	-0.24	-3.86%	314669555	662153					
CUTR	$38.44 	-0.88	-2.24%	690255894	104243					
CUZ	$40.02 	0.17	0.43%	5950495201	642501					
CVBF	$21.42 	0.04	0.19%	2902871280	432281					
CVCO	$311.42 	2.33	0.75%	2857999437	35274					
CVET	$19.89 	-0.48	-2.36%	2740510951	471685					
CVGW	$43.83 	0.92	2.14%	774825206	82339					
CVI	$16.89 	0.17	1.02%	1697961817	270746					
CVLG	$25.28 	0.14	0.56%	422619487	168551					
CVLT	$69.92 	-0.23	-0.33%	3181966556	185285					
CVM	$7.82 	0.01	0.13%	338171974	488072					
CVNA	$233.76 	1.58	0.68%	20006879066	1185629					
CVS	$102.77 	0.37	0.36%	1.35662E+11	2732441					
CVT	$7.91 	0.05	0.64%	3805672607	105164					
CVX	$118.56 	-0.23	-0.19%	2.28546E+11	6516024					
CW	$138.98 	1.15	0.83%	5453534340	120187					
CWEN	$35.52 	-0.29	-0.81%	4133726775	296886					
CWH	$41.12 	1.18	2.95%	1844367120	951461					
CWST	$84.50 	0.4	0.48%	4343128719	186357					
CWT	$70.54 	0.52	0.74%	3710968320	83985					
CXW	$10.28 	0.02	0.20%	1236527384	715073					
CYBE	$43.60 	-0.52	-1.18%	320701936	52163					
CYH	$13.29 	-0.23	-1.70%	1755714204	617842					
CYRX	$57.77 	-1.12	-1.90%	2851971798	145185					
CYT	$9.83 	-0.24	-2.38%	347696232	74461					
CYTK	$45.54 	-0.31	-0.68%	3843308908	410435					
CYXT	$12.48 	-0.21	-1.66%	2071414675	163328					
CZNC	$25.81 	-0.29	-1.11%	406533439	12917					
CZR	$92.78 	-1.37	-1.46%	19833956545	936963					
D	$77.91 	0.48	0.62%	63099964067	1236077					
DAL	$39.63 	0.63	1.62%	25363747607	9974096					
DAN	$22.73 	-0.02	-0.09%	3278442002	398443					
DAR	$66.52 	0.18	0.27%	10763482329	680810					
DAVA	$167.03 	-3.1	-1.82%	9352694022	102193					
DAWN	$16.27 	0.3	1.88%	1007583838	207085					
DBD	$8.77 	-0.1	-1.13%	687175569	805869					
DBI	$14.24 	-0.24	-1.66%	1044559152	1031184					
DBRG	$8.12 	-0.01	-0.12%	4607895668	4296704					
DBX	$25.01 	-0.05	-0.20%	9565575100	2010076					
DCGO	$9.38 	-0.04	-0.43%	938651328	207704					
DCI	$58.70 	0.76	1.31%	7251330631	302609					
DCO	$47.61 	1.19	2.56%	567663028	55590					
DCOM	$35.00 	-0.05	-0.14%	1415905330	63557					
DCP	$27.30 	0.27	1.00%	5688601246	336915					
DCPH	$10.06 	-0.37	-3.55%	588317220	897405					
DCRD	$9.87 	-0.01	-0.10%	390173438	1381					
DCRN	$9.97 	0.01	0.10%	601938750	1399084					
DCT	$29.59 	-0.51	-1.69%	3907258243	690502					
DDD	$21.31 	-0.69	-3.14%	2737256096	1319990					
DDOG	$177.42 	-6.05	-3.30%	55357944011	1691535					
DDS	$251.84 	-4.33	-1.69%	4894302380	125429					
DE	$349.77 	-0.98	-0.28%	1.07522E+11	718675					
DEA	$22.75 	0.03	0.13%	1959640365	412448					
DECK	$359.03 	0.46	0.13%	9854698524	149823					
DEI	$33.63 	0.25	0.75%	5901586781	548498					
DENN	$15.66 	-0.16	-1.01%	992625715	412318					
DFH	$19.30 	0	0.00%	1785664603	126228					
DFS	$116.07 	-0.05	-0.04%	34240650000	635509					
DG	$228.32 	3.63	1.62%	52903228993	1805125					
DGICA	$14.20 	-0.01	-0.07%	444876727	30602					
DGICB	$13.20 	0	0.00%	413547380	146					
DGII	$24.92 	-0.57	-2.24%	864829910	57808					
DGNU	$9.80 	0	0.00%	527578178	11155					
DGX	$169.34 	-0.01	-0.01%	20773745721	528378					
DH	$27.27 	-1.06	-3.74%	2706911091	124000					
DHBC	$9.75 	0	0.00%	350390625	10799					
DHBCU	$9.93 	0.0402	0.41%	356866563	500					
DHC	$2.62 	-0.01	-0.38%	626166622	1075169					
DHCA	$9.72 	0	0.00%	375982625	4104					
DHHC	$9.71 	-0.02	-0.21%	418743750	7345					
DHI	$106.95 	0.74	0.70%	38093599874	1524288					
DHIL	$195.54 	2.12	1.10%	620193240	6647					
DHR	$323.44 	-3.97	-1.21%	2.31123E+11	1234195					
DHX	$6.11 	-0.14	-2.24%	302701980	113352					
DIBS	$12.41 	-0.34	-2.67%	470038678	121631					
DICE	$24.56 	-0.18	-0.73%	938963552	267455					
DIN	$79.26 	-1.32	-1.64%	1364621243	141803					
DIOD	$110.33 	-2.09	-1.86%	4966810012	155830					
DIS	$155.20 	2.4	1.57%	2.821E+11	12186587					
DISA	$9.80 	0.08	0.82%	336875000	223					
DISCA	$24.33 	-0.03	-0.12%	12307717104	3572433					
DISCB	$29.80 	-0.37	-1.23%	15074803522	3047					
DISCK	$23.52 	0.01	0.04%	11897965733	2072672					
DISH	$32.85 	-0.03	-0.09%	17371133053	1062234					
DJCO	$361.50 	9.5	2.70%	499139679	1849					
DK	$15.37 	0.05	0.33%	1139300282	699798					
DKL	$41.80 	-1.05	-2.45%	1816588833	93239					
DKNG	$27.32 	-0.88	-3.12%	11106306958	13533365					
DKS	$107.39 	-0.09	-0.08%	9300610715	2020660					
DLB	$94.60 	0.64	0.68%	9557415107	226936					
DLR	$174.86 	1.36	0.78%	49623074556	1106670					
DLTH	$15.15 	-0.32	-2.07%	500897148	69547					
DLTR	$139.29 	0.82	0.59%	31334129458	2278351					
DLX	$31.64 	-0.06	-0.19%	1348048208	117654					
DMLP	$19.65 	0.22	1.13%	695703809	51569					
DMRC	$41.62 	-1.38	-3.21%	704694524	94589					
DMTK	$16.13 	-0.14	-0.86%	479338404	474011					
DNA	$9.15 	-0.58	-5.96%	15304658745	6275493					
DNAA	$9.87 	-0.03	-0.30%	314754300	2473					
DNAB	$9.89 	0.025	0.25%	315392100	2152					
DNAC	$9.89 	0.02	0.20%	315392100	1651					
DNAD	$9.84 	0.01	0.10%	313797600	40748					
DNB	$20.45 	0.33	1.64%	8817816645	1041854					
DNLI	$44.30 	-0.59	-1.31%	5410163238	410070					
DNP	$10.90 	-0.01	-0.09%	3716642793	422861					
DNUT	$17.85 	1.63	10.05%	2985425620	3132387					
DOC	$18.62 	0.12	0.65%	4101790192	1575765					
DOCN	$80.47 	-3.49	-4.16%	8551257932	1119307					
DOCU	$152.39 	-4.13	-2.64%	30154403340	2627112					
DOMO	$49.79 	-0.51	-1.01%	1623659418	228182					
DORM	$109.53 	2.53	2.36%	3463749885	140397					
DOV	$179.81 	1.18	0.66%	25889880456	402621					
DPG	$13.84 	0.03	0.22%	524948515	91925					
DPZ	$557.77 	0.56	0.10%	20280707957	189823					
DRAY	$9.85 	0.05	0.51%	353984375	193					
DRE	$64.40 	0.1	0.16%	24526759320	774545					
DRH	$9.53 	-0.04	-0.42%	2007207075	1404048					
DRI	$149.37 	-0.86	-0.57%	19385985898	686891					
DRNA	$38.22 	0.22	0.58%	2977701510	5568959					
DRQ	$19.74 	0.1	0.51%	698517370	339383					
DRVN	$33.02 	-0.59	-1.76%	5526880501	227219					
DSEY	$12.94 	-0.02	-0.15%	4107558952	1468734					
DSGN	$19.03 	0.77	4.22%	1059257394	62896					
DSKE	$9.60 	-0.11	-1.13%	599897021	235903					
DSM	$8.40 	0.03	0.36%	415140692	30935					
DSU	$12.14 	0.04	0.33%	565624537	186056					
DT	$61.19 	0.07	0.12%	17443507279	843237					
DTE	$118.73 	0.88	0.75%	23001239717	500544					
DTIL	$7.91 	-0.11	-1.37%	480669398	377133					
DTOC	$9.71 	0	0.00%	404785625	2520					
DUK	$104.57 	1.28	1.24%	80450236410	1197439					
DUOL	$108.11 	-2.14	-1.94%	4051131542	247027					
DVA	$112.56 	1.39	1.25%	11469864000	463078					
DVAX	$14.20 	-0.19	-1.32%	1703320274	2213051					
DVN	$44.50 	-0.11	-0.25%	30126500000	6374507					
DWAC	$52.45 	-0.51	-0.96%	1951912798	1370638					
DX	$17.00 	0.16	0.95%	623318685	558474					
DXCM	$529.50 	-40.38	-7.09%	51320217003	762585					
DXLG	$5.48 	-0.12	-2.14%	346632172	472313					
DXPE	$25.53 	-0.02	-0.08%	478702741	61790					
DY	$93.25 	0.03	0.03%	2814349156	128895					
DYN	$12.37 	-0.26	-2.06%	637407162	86085					
DZSI	$15.14 	-0.08	-0.53%	412391950	85738					
EA	$133.47 	0.43	0.32%	37746402846	1230734					
EAC	$9.78 	0	0.00%	337410000	1102					
EAD	$8.81 	0.04	0.46%	533764545	174505					
EAF	$11.84 	-0.01	-0.08%	3116550943	1042174					
EAT	$37.14 	-0.37	-0.99%	1686806396	430321					
EB	$17.13 	-0.39	-2.23%	1627508367	458120					
EBAY	$66.08 	0.42	0.64%	41366329848	5534409					
EBC	$20.52 	0.06	0.29%	3832277320	533018					
EBF	$19.72 	-0.07	-0.35%	515115250	158954					
EBIX	$30.63 	-0.35	-1.13%	947797537	93119					
EBS	$44.94 	-0.7	-1.53%	2417711960	427178					
EBTC	$44.83 	-0.8	-1.75%	539178704	17886					
ECC           	$14.01 	-0.005	-0.04%	483026274	265291					
ECL	$234.13 	2.46	1.06%	67094003588	724318					
ECOL	$31.20 	-0.15	-0.48%	983184509	98635					
ECOM          	$25.18 	0.05	0.20%	756632511	91340					
ECPG	$60.54 	-0.2	-0.33%	1772110534	141411					
ECVT	$10.35 	0.08	0.78%	1418567988	243103					
ED	$84.40 	0.67	0.80%	29856393318	786611					
EDD	$5.45 	-0.01	-0.18%	360202081	222065					
EDIT	$27.90 	-0.25	-0.89%	1908319266	1250889					
EEFT	$119.41 	1.04	0.88%	6311537706	227495					
EFC	$17.28 	0.02	0.12%	992350086	549829					
EFR	$15.04 	-0.01	-0.07%	425935071	66931					
EFSC	$47.33 	0.61	1.31%	1816157977	113557					
EFT	$15.11 	0.13	0.87%	430302323	117832					
EFTR	$8.86 	-0.24	-2.64%	357693492	244216					
EFX	$294.01 	2.91	1.00%	35869666601	277739					
EGAN	$9.94 	-0.14	-1.39%	311999702	46778					
EGBN	$58.27 	0.91	1.59%	1861740776	66750					
EGHT	$17.45 	-0.15	-0.85%	1994322354	504870					
EGLE	$42.88 	0.57	1.35%	582780408	212411					
EGP	$224.22 	2.03	0.91%	9122227692	126123					
EGRX	$52.83 	-1.38	-2.55%	682240228	69973					
EHC	$66.69 	1.98	3.06%	6635154425	1251118					
EHTH	$25.74 	-0.05	-0.19%	679230003	320910					
EIG	$41.06 	0.13	0.32%	1148217443	45508					
EIM	$13.46 	0	0.00%	968489857	108597					
EIX	$68.20 	0.58	0.86%	25909743059	693768					
EJFA	$9.88 	-0.0099	-0.10%	355066094	121233					
EL	$367.80 	-1.47	-0.40%	1.32389E+11	539291					
ELAN	$28.88 	-0.08	-0.28%	13663088810	2109602					
ELF	$32.04 	-0.1	-0.31%	1667087209	302774					
ELMS	$6.61 	-0.02	-0.30%	819822515	302437					
ELS	$86.72 	0.55	0.64%	15941400780	390896					
ELY	$27.30 	-0.21	-0.76%	5078176795	960580					
ELYM	$12.42 	-0.09	-0.72%	329804605	25798					
EMBK	$8.87 	-0.55	-5.84%	3987535695	327929					
EMD	$12.57 	-0.15	-1.18%	763577371	285850					
EME	$127.66 	-0.44	-0.34%	6813773861	124599					
EMN	$119.80 	0.81	0.68%	16105945424	539174					
EMR	$92.89 	0.72	0.78%	55334518566	1271483					
ENJY	$5.04 	0.08	1.61%	602894205	343028					
ENNV	$9.89 	-0.01	-0.10%	426506250	442					
ENOB	$7.21 	-0.72	-9.08%	376503756	265335					
